"Name () (71c)","Pos () (71c)","Team () (71c)","Injury () (71d)","Return Date () (71d)","Date Injured () (71d)"
"Rudy Gobert","C","Minnesota Timberwolves",,,
"Naz Reid","C","Minnesota Timberwolves",,,
"Julius Randle","C","Minnesota Timberwolves",,,
"Luka Garza","C","Minnesota Timberwolves","Ankle","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Jesse Edwards","C","Minnesota Timberwolves",,,
"Julius Randle","PF","Minnesota Timberwolves",,,
"Naz Reid","PF","Minnesota Timberwolves",,,
"Joe Ingles","PF","Minnesota Timberwolves","Calf","Expected To Be Out Until At Least Dec 27","2024-12-24"
"PJ Dozier","PF","Minnesota Timberwolves",,,
"Jaden McDaniels","PF","Minnesota Timberwolves",,,
"Mike Conley","PG","Minnesota Timberwolves",,,
"Donte DiVincenzo","PG","Minnesota Timberwolves",,,
"Robert Dillingham","PG","Minnesota Timberwolves",,,
"Anthony Edwards","PG","Minnesota Timberwolves",,,
"Daishen Nix","PG","Minnesota Timberwolves","Ankle","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Jaden McDaniels","SF","Minnesota Timberwolves",,,
"Josh Minott","SF","Minnesota Timberwolves",,,
"Nickeil Alexander-Walker","SF","Minnesota Timberwolves",,,
"Donte DiVincenzo","SF","Minnesota Timberwolves",,,
"Joe Ingles","SF","Minnesota Timberwolves","Calf","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Terrence Shannon Jr.","SF","Minnesota Timberwolves",,,
"PJ Dozier","SF","Minnesota Timberwolves",,,
"Anthony Edwards","SF","Minnesota Timberwolves",,,
"Jaylen Clark","SF","Minnesota Timberwolves",,,
"Anthony Edwards","SG","Minnesota Timberwolves",,,
"Nickeil Alexander-Walker","SG","Minnesota Timberwolves",,,
"Donte DiVincenzo","SG","Minnesota Timberwolves",,,
"Joe Ingles","SG","Minnesota Timberwolves","Calf","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Terrence Shannon Jr.","SG","Minnesota Timberwolves",,,
"Josh Minott","SG","Minnesota Timberwolves",,,
"PJ Dozier","SG","Minnesota Timberwolves",,,
"Jaylen Clark","SG","Minnesota Timberwolves",,,
"Daishen Nix","SG","Minnesota Timberwolves","Ankle","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Myles Turner","C","Indiana Pacers","Oblique","Probable","2024-12-25"
"Thomas Bryant","C","Indiana Pacers",,,
"Obi Toppin","C","Indiana Pacers",,,
"Enrique Freeman","C","Indiana Pacers",,,
"Pascal Siakam","C","Indiana Pacers",,,
"James Johnson","C","Indiana Pacers",,,
"Jarace Walker","C","Indiana Pacers",,,
"Isaiah Jackson","C","Indiana Pacers","Achilles","Out For The Season","2024-11-2"
"James Wiseman","C","Indiana Pacers","Achilles","Out For The Season","2024-10-24"
"Pascal Siakam","PF","Indiana Pacers",,,
"Obi Toppin","PF","Indiana Pacers",,,
"Jarace Walker","PF","Indiana Pacers",,,
"Enrique Freeman","PF","Indiana Pacers",,,
"James Johnson","PF","Indiana Pacers",,,
"Aaron Nesmith","PF","Indiana Pacers","Ankle","Expected To Be Out Until At Least Jan 2","2024-12-24"
"Tyrese Haliburton","PG","Indiana Pacers",,,
"T.J. McConnell","PG","Indiana Pacers",,,
"Andrew Nembhard","PG","Indiana Pacers",,,
"Tristen Newton","PG","Indiana Pacers",,,
"Quenton Jackson","PG","Indiana Pacers",,,
"Ben Sheppard","PG","Indiana Pacers",,,
"Bennedict Mathurin","SF","Indiana Pacers",,,
"Jarace Walker","SF","Indiana Pacers",,,
"Johnny Furphy","SF","Indiana Pacers",,,
"Ben Sheppard","SF","Indiana Pacers",,,
"Pascal Siakam","SF","Indiana Pacers",,,
"Quenton Jackson","SF","Indiana Pacers",,,
"Aaron Nesmith","SF","Indiana Pacers","Ankle","Expected To Be Out Until At Least Jan 2","2024-12-24"
"Andrew Nembhard","SG","Indiana Pacers",,,
"Ben Sheppard","SG","Indiana Pacers",,,
"Johnny Furphy","SG","Indiana Pacers",,,
"Bennedict Mathurin","SG","Indiana Pacers",,,
"Quenton Jackson","SG","Indiana Pacers",,,
"Tristen Newton","SG","Indiana Pacers",,,
"Tyrese Haliburton","SG","Indiana Pacers",,,
"Aaron Nesmith","SG","Indiana Pacers","Ankle","Expected To Be Out Until At Least Jan 2","2024-12-24"
"Walker Kessler","C","Utah Jazz",,,
"Kyle Filipowski","C","Utah Jazz",,,
"Drew Eubanks","C","Utah Jazz",,,
"John Collins","C","Utah Jazz","Hip","Probable","2024-12-24"
"Oscar Tshiebwe","C","Utah Jazz",,,
"Micah Potter","C","Utah Jazz",,,
"Taylor Hendricks","C","Utah Jazz","Lower Leg","Out For The Season","2024-11-1"
"John Collins","PF","Utah Jazz","Hip","Probable","2024-12-24"
"Brice Sensabaugh","PF","Utah Jazz",,,
"Kyle Filipowski","PF","Utah Jazz",,,
"Lauri Markkanen","PF","Utah Jazz",,,
"Micah Potter","PF","Utah Jazz",,,
"Cody Williams","PF","Utah Jazz",,,
"Taylor Hendricks","PF","Utah Jazz","Lower Leg","Out For The Season","2024-11-1"
"Keyonte George","PG","Utah Jazz","Ankle","Probable","2024-12-24"
"Isaiah Collier","PG","Utah Jazz",,,
"Collin Sexton","PG","Utah Jazz",,,
"Patty Mills","PG","Utah Jazz",,,
"Jordan Clarkson","PG","Utah Jazz",,,
"Lauri Markkanen","SF","Utah Jazz",,,
"Johnny Juzang","SF","Utah Jazz",,,
"Brice Sensabaugh","SF","Utah Jazz",,,
"Sviatoslav Mykhailiuk","SF","Utah Jazz",,,
"Cody Williams","SF","Utah Jazz",,,
"David Jones","SF","Utah Jazz",,,
"Jordan Clarkson","SF","Utah Jazz",,,
"Taylor Hendricks","SF","Utah Jazz","Lower Leg","Out For The Season","2024-11-1"
"Collin Sexton","SG","Utah Jazz",,,
"Jordan Clarkson","SG","Utah Jazz",,,
"Johnny Juzang","SG","Utah Jazz",,,
"Sviatoslav Mykhailiuk","SG","Utah Jazz",,,
"Isaiah Collier","SG","Utah Jazz",,,
"David Jones","SG","Utah Jazz",,,
"Brice Sensabaugh","SG","Utah Jazz",,,
"Goga Bitadze","C","Orlando Magic",,,
"Wendell Carter Jr.","C","Orlando Magic",,,
"Jonathan Isaac","C","Orlando Magic",,,
"Moritz Wagner","C","Orlando Magic","Knee","Out For The Season","2024-12-22"
"Wendell Carter Jr.","PF","Orlando Magic",,,
"Jonathan Isaac","PF","Orlando Magic",,,
"Tristan Da Silva","PF","Orlando Magic",,,
"Jett Howard","PF","Orlando Magic",,,
"Caleb Houstan","PF","Orlando Magic",,,
"Paolo Banchero","PF","Orlando Magic","Oblique","Expected To Be Out Until At Least Jan 5","2024-12-24"
"Franz Wagner","PF","Orlando Magic","Oblique","Expected To Be Out Until At Least Jan 15","2024-12-24"
"Moritz Wagner","PF","Orlando Magic","Knee","Out For The Season","2024-12-22"
"Jalen Suggs","PG","Orlando Magic",,,
"Anthony Black","PG","Orlando Magic",,,
"Cory Joseph","PG","Orlando Magic",,,
"Cole Anthony","PG","Orlando Magic",,,
"Trevelin Queen","PG","Orlando Magic",,,
"Mac McClung","PG","Orlando Magic","Leg","Probable","2024-12-24"
"Tristan Da Silva","SF","Orlando Magic",,,
"Gary Harris","SF","Orlando Magic","Hamstring","Probable","2024-12-24"
"Jett Howard","SF","Orlando Magic",,,
"Caleb Houstan","SF","Orlando Magic",,,
"Kentavious Caldwell-Pope","SF","Orlando Magic",,,
"Anthony Black","SF","Orlando Magic",,,
"Jonathan Isaac","SF","Orlando Magic",,,
"Jalen Suggs","SF","Orlando Magic",,,
"Paolo Banchero","SF","Orlando Magic","Oblique","Expected To Be Out Until At Least Jan 5","2024-12-24"
"Franz Wagner","SF","Orlando Magic","Oblique","Expected To Be Out Until At Least Jan 15","2024-12-24"
"Kentavious Caldwell-Pope","SG","Orlando Magic",,,
"Cole Anthony","SG","Orlando Magic",,,
"Gary Harris","SG","Orlando Magic","Hamstring","Probable","2024-12-24"
"Anthony Black","SG","Orlando Magic",,,
"Jett Howard","SG","Orlando Magic",,,
"Trevelin Queen","SG","Orlando Magic",,,
"Caleb Houstan","SG","Orlando Magic",,,
"Jalen Suggs","SG","Orlando Magic",,,
"Mac McClung","SG","Orlando Magic","Leg","Probable","2024-12-24"
"Franz Wagner","SG","Orlando Magic","Oblique","Expected To Be Out Until At Least Jan 15","2024-12-24"
"Clint Capela","C","Atlanta Hawks",,,
"Onyeka Okongwu","C","Atlanta Hawks","Knee","Expected To Be Out Until At Least Dec 28","2024-12-18"
"Larry Nance Jr.","C","Atlanta Hawks",,,
"Dominick Barlow","C","Atlanta Hawks","Illness","Probable","2024-12-24"
"Mouhamed Gueye","C","Atlanta Hawks",,,
"Jalen Johnson","C","Atlanta Hawks",,,
"Cody Zeller","C","Atlanta Hawks","Personal","Probable","2024-12-24"
"Jalen Johnson","PF","Atlanta Hawks",,,
"De'Andre Hunter","PF","Atlanta Hawks",,,
"Larry Nance Jr.","PF","Atlanta Hawks",,,
"David Roddy","PF","Atlanta Hawks",,,
"Zaccharie Risacher","PF","Atlanta Hawks",,,
"Onyeka Okongwu","PF","Atlanta Hawks","Knee","Expected To Be Out Until At Least Dec 28","2024-12-18"
"Mouhamed Gueye","PF","Atlanta Hawks",,,
"Dominick Barlow","PF","Atlanta Hawks","Illness","Probable","2024-12-24"
"Trae Young","PG","Atlanta Hawks","Heel","Probable","2024-12-25"
"Vit Krejci","PG","Atlanta Hawks",,,
"Keaton Wallace","PG","Atlanta Hawks",,,
"Dyson Daniels","PG","Atlanta Hawks",,,
"Kobe Bufkin","PG","Atlanta Hawks","Shoulder","Out For The Season","2024-12-18"
"Zaccharie Risacher","SF","Atlanta Hawks",,,
"De'Andre Hunter","SF","Atlanta Hawks",,,
"Bogdan Bogdanovic","SF","Atlanta Hawks","Lower Leg","Probable","2024-12-24"
"Garrison Mathews","SF","Atlanta Hawks",,,
"Vit Krejci","SF","Atlanta Hawks",,,
"David Roddy","SF","Atlanta Hawks",,,
"Dyson Daniels","SF","Atlanta Hawks",,,
"Jalen Johnson","SF","Atlanta Hawks",,,
"Dyson Daniels","SG","Atlanta Hawks",,,
"Bogdan Bogdanovic","SG","Atlanta Hawks","Lower Leg","Probable","2024-12-24"
"Vit Krejci","SG","Atlanta Hawks",,,
"Garrison Mathews","SG","Atlanta Hawks",,,
"Zaccharie Risacher","SG","Atlanta Hawks",,,
"Keaton Wallace","SG","Atlanta Hawks",,,
"Kobe Bufkin","SG","Atlanta Hawks","Shoulder","Out For The Season","2024-12-18"
"Kristaps Porzingis","C","Boston Celtics",,,
"Luke Kornet","C","Boston Celtics",,,
"Al Horford","C","Boston Celtics",,,
"Neemias Queta","C","Boston Celtics",,,
"Xavier Tillman","C","Boston Celtics",,,
"Jayson Tatum","PF","Boston Celtics",,,
"Al Horford","PF","Boston Celtics",,,
"Sam Hauser","PF","Boston Celtics",,,
"Drew Peterson","PF","Boston Celtics",,,
"Xavier Tillman","PF","Boston Celtics",,,
"Jordan Walsh","PF","Boston Celtics",,,
"Kristaps Porzingis","PF","Boston Celtics",,,
"Anton Watson","PF","Boston Celtics",,,
"Jrue Holiday","PG","Boston Celtics","Shoulder","Expected To Be Out Until At Least Dec 27","2024-12-25"
"Payton Pritchard","PG","Boston Celtics",,,
"Derrick White","PG","Boston Celtics",,,
"JD Davison","PG","Boston Celtics",,,
"Jaden Springer","PG","Boston Celtics",,,
"Jaylen Brown","SF","Boston Celtics",,,
"Sam Hauser","SF","Boston Celtics",,,
"Jayson Tatum","SF","Boston Celtics",,,
"Jordan Walsh","SF","Boston Celtics",,,
"Jaden Springer","SF","Boston Celtics",,,
"Baylor Scheierman","SF","Boston Celtics",,,
"Drew Peterson","SF","Boston Celtics",,,
"Anton Watson","SF","Boston Celtics",,,
"Derrick White","SG","Boston Celtics",,,
"Payton Pritchard","SG","Boston Celtics",,,
"Jaylen Brown","SG","Boston Celtics",,,
"Jordan Walsh","SG","Boston Celtics",,,
"Jaden Springer","SG","Boston Celtics",,,
"Jrue Holiday","SG","Boston Celtics","Shoulder","Expected To Be Out Until At Least Dec 27","2024-12-25"
"Baylor Scheierman","SG","Boston Celtics",,,
"JD Davison","SG","Boston Celtics",,,
"Jarrett Allen","C","Cleveland Cavaliers",,,
"Evan Mobley","C","Cleveland Cavaliers",,,
"Tristan Thompson","C","Cleveland Cavaliers",,,
"Dean Wade","C","Cleveland Cavaliers","Knee","Probable","2024-12-24"
"Evan Mobley","PF","Cleveland Cavaliers",,,
"Georges Niang","PF","Cleveland Cavaliers",,,
"Dean Wade","PF","Cleveland Cavaliers","Knee","Probable","2024-12-24"
"Isaac Okoro","PF","Cleveland Cavaliers","Shoulder","Expected To Be Out Until At Least Jan 3","2024-12-19"
"Max Strus","PF","Cleveland Cavaliers",,,
"JT Thor","PF","Cleveland Cavaliers",,,
"Darius Garland","PG","Cleveland Cavaliers",,,
"Caris LeVert","PG","Cleveland Cavaliers",,,
"Ty Jerome","PG","Cleveland Cavaliers",,,
"Donovan Mitchell","PG","Cleveland Cavaliers",,,
"Craig Porter Jr.","PG","Cleveland Cavaliers",,,
"Emoni Bates","PG","Cleveland Cavaliers",,,
"Max Strus","SF","Cleveland Cavaliers",,,
"Isaac Okoro","SF","Cleveland Cavaliers","Shoulder","Expected To Be Out Until At Least Jan 3","2024-12-19"
"Dean Wade","SF","Cleveland Cavaliers","Knee","Probable","2024-12-24"
"Georges Niang","SF","Cleveland Cavaliers",,,
"Jaylon Tyson","SF","Cleveland Cavaliers",,,
"Caris LeVert","SF","Cleveland Cavaliers",,,
"Luke Travers","SF","Cleveland Cavaliers","Ankle","Probable","2024-12-24"
"JT Thor","SF","Cleveland Cavaliers",,,
"Emoni Bates","SF","Cleveland Cavaliers",,,
"Donovan Mitchell","SG","Cleveland Cavaliers",,,
"Sam Merrill","SG","Cleveland Cavaliers",,,
"Caris LeVert","SG","Cleveland Cavaliers",,,
"Max Strus","SG","Cleveland Cavaliers",,,
"Isaac Okoro","SG","Cleveland Cavaliers","Shoulder","Expected To Be Out Until At Least Jan 3","2024-12-19"
"Jaylon Tyson","SG","Cleveland Cavaliers",,,
"Ty Jerome","SG","Cleveland Cavaliers",,,
"Craig Porter Jr.","SG","Cleveland Cavaliers",,,
"Luke Travers","SG","Cleveland Cavaliers","Ankle","Probable","2024-12-24"
"Emoni Bates","SG","Cleveland Cavaliers",,,
"Karl-Anthony Towns","C","New York Knicks",,,
"Precious Achiuwa","C","New York Knicks",,,
"Jericho Sims","C","New York Knicks",,,
"Ariel Hukporti","C","New York Knicks",,,
"Mitchell Robinson","C","New York Knicks","Ankle","Expected To Be Out Until At Least Jan 25","2024-12-11"
"OG Anunoby","PF","New York Knicks",,,
"Josh Hart","PF","New York Knicks",,,
"Precious Achiuwa","PF","New York Knicks",,,
"Mikal Bridges","PF","New York Knicks",,,
"Jacob Toppin","PF","New York Knicks",,,
"Jericho Sims","PF","New York Knicks",,,
"Jalen Brunson","PG","New York Knicks",,,
"Cameron Payne","PG","New York Knicks",,,
"Miles McBride","PG","New York Knicks",,,
"Tyler Kolek","PG","New York Knicks",,,
"Josh Hart","SF","New York Knicks",,,
"Mikal Bridges","SF","New York Knicks",,,
"OG Anunoby","SF","New York Knicks",,,
"Landry Shamet","SF","New York Knicks",,,
"Pacome Dadiet","SF","New York Knicks",,,
"Jacob Toppin","SF","New York Knicks",,,
"Kevin McCullar Jr.","SF","New York Knicks","Knee","Expected To Be Out Until At Least Dec 27","2024-12-24"
"Matt Ryan","SF","New York Knicks",,,
"Mikal Bridges","SG","New York Knicks",,,
"Miles McBride","SG","New York Knicks",,,
"Landry Shamet","SG","New York Knicks",,,
"Cameron Payne","SG","New York Knicks",,,
"Pacome Dadiet","SG","New York Knicks",,,
"Josh Hart","SG","New York Knicks",,,
"Matt Ryan","SG","New York Knicks",,,
"Yves Missi","C","New Orleans Pelicans",,,
"Jeremiah Robinson-Earl","C","New Orleans Pelicans",,,
"Daniel Theis","C","New Orleans Pelicans",,,
"Trey Jemison","C","New Orleans Pelicans",,,
"Herbert Jones","C","New Orleans Pelicans",,,
"Karlo Matkovic","C","New Orleans Pelicans","Back","Expected To Be Out Until At Least Jan 1","2024-12-24"
"Trey Murphy III","C","New Orleans Pelicans","Ankle","Probable","2024-12-22"
"Zion Williamson","C","New Orleans Pelicans","Hamstring","Expected To Be Out Until At Least Jan 1","2024-12-24"
"Herbert Jones","PF","New Orleans Pelicans",,,
"Javonte Green","PF","New Orleans Pelicans",,,
"Trey Murphy III","PF","New Orleans Pelicans","Ankle","Probable","2024-12-22"
"Jeremiah Robinson-Earl","PF","New Orleans Pelicans",,,
"Karlo Matkovic","PF","New Orleans Pelicans","Back","Expected To Be Out Until At Least Jan 1","2024-12-24"
"Brandon Boston Jr.","PF","New Orleans Pelicans",,,
"Zion Williamson","PF","New Orleans Pelicans","Hamstring","Expected To Be Out Until At Least Jan 1","2024-12-24"
"Brandon Ingram","PF","New Orleans Pelicans","Ankle","Expected To Be Out Until At Least Jan 10","2024-12-24"
"Dejounte Murray","PG","New Orleans Pelicans",,,
"C.J. McCollum","PG","New Orleans Pelicans",,,
"Brandon Boston Jr.","PG","New Orleans Pelicans",,,
"Jordan Hawkins","PG","New Orleans Pelicans",,,
"Brandon Ingram","PG","New Orleans Pelicans","Ankle","Expected To Be Out Until At Least Jan 10","2024-12-24"
"Antonio Reeves","PG","New Orleans Pelicans",,,
"Jose Alvarado","PG","New Orleans Pelicans","Hamstring","Expected To Be Out Until At Least Jan 1","2024-12-24"
"Trey Murphy III","SF","New Orleans Pelicans","Ankle","Probable","2024-12-22"
"Brandon Boston Jr.","SF","New Orleans Pelicans",,,
"Javonte Green","SF","New Orleans Pelicans",,,
"Herbert Jones","SF","New Orleans Pelicans",,,
"Jamal Cain","SF","New Orleans Pelicans",,,
"Antonio Reeves","SF","New Orleans Pelicans",,,
"Jordan Hawkins","SF","New Orleans Pelicans",,,
"Brandon Ingram","SF","New Orleans Pelicans","Ankle","Expected To Be Out Until At Least Jan 10","2024-12-24"
"C.J. McCollum","SG","New Orleans Pelicans",,,
"Jordan Hawkins","SG","New Orleans Pelicans",,,
"Trey Murphy III","SG","New Orleans Pelicans","Ankle","Probable","2024-12-22"
"Brandon Boston Jr.","SG","New Orleans Pelicans",,,
"Dejounte Murray","SG","New Orleans Pelicans",,,
"Antonio Reeves","SG","New Orleans Pelicans",,,
"Herbert Jones","SG","New Orleans Pelicans",,,
"Jamal Cain","SG","New Orleans Pelicans",,,
"Brandon Ingram","SG","New Orleans Pelicans","Ankle","Expected To Be Out Until At Least Jan 10","2024-12-24"
"Deandre Ayton","C","Portland Trail Blazers",,,
"Donovan Clingan","C","Portland Trail Blazers",,,
"Robert Williams","C","Portland Trail Blazers","Ankle","Probable","2024-12-23"
"Jabari Walker","C","Portland Trail Blazers",,,
"Duop Reath","C","Portland Trail Blazers",,,
"Jerami Grant","C","Portland Trail Blazers",,,
"Jerami Grant","PF","Portland Trail Blazers",,,
"Robert Williams","PF","Portland Trail Blazers","Ankle","Probable","2024-12-23"
"Deni Avdija","PF","Portland Trail Blazers",,,
"Toumani Camara","PF","Portland Trail Blazers",,,
"Jabari Walker","PF","Portland Trail Blazers",,,
"Kris Murray","PF","Portland Trail Blazers",,,
"Justin Minaya","PF","Portland Trail Blazers",,,
"Duop Reath","PF","Portland Trail Blazers",,,
"Matisse Thybulle","PF","Portland Trail Blazers","Ankle","Expected To Be Out Until At Least Jan 2","2024-11-26"
"Anfernee Simons","PG","Portland Trail Blazers",,,
"Scoot Henderson","PG","Portland Trail Blazers",,,
"Dalano Banton","PG","Portland Trail Blazers",,,
"Shaedon Sharpe","PG","Portland Trail Blazers",,,
"Rayan Rupert","PG","Portland Trail Blazers",,,
"Toumani Camara","SF","Portland Trail Blazers",,,
"Deni Avdija","SF","Portland Trail Blazers",,,
"Kris Murray","SF","Portland Trail Blazers",,,
"Rayan Rupert","SF","Portland Trail Blazers",,,
"Shaedon Sharpe","SF","Portland Trail Blazers",,,
"Dalano Banton","SF","Portland Trail Blazers",,,
"Jerami Grant","SF","Portland Trail Blazers",,,
"Justin Minaya","SF","Portland Trail Blazers",,,
"Bryce McGowens","SF","Portland Trail Blazers",,,
"Taze Moore","SF","Portland Trail Blazers",,,
"Matisse Thybulle","SF","Portland Trail Blazers","Ankle","Expected To Be Out Until At Least Jan 2","2024-11-26"
"Shaedon Sharpe","SG","Portland Trail Blazers",,,
"Dalano Banton","SG","Portland Trail Blazers",,,
"Rayan Rupert","SG","Portland Trail Blazers",,,
"Toumani Camara","SG","Portland Trail Blazers",,,
"Anfernee Simons","SG","Portland Trail Blazers",,,
"Kris Murray","SG","Portland Trail Blazers",,,
"Taze Moore","SG","Portland Trail Blazers",,,
"Justin Minaya","SG","Portland Trail Blazers",,,
"Bryce McGowens","SG","Portland Trail Blazers",,,
"Matisse Thybulle","SG","Portland Trail Blazers","Ankle","Expected To Be Out Until At Least Jan 2","2024-11-26"
"Zach Edey","C","Memphis Grizzlies",,,
"Brandon Clarke","C","Memphis Grizzlies",,,
"Jay Huff","C","Memphis Grizzlies","Ankle","Probable","2024-12-24"
"Jaren Jackson Jr.","C","Memphis Grizzlies",,,
"Colin Castleton","C","Memphis Grizzlies",,,
"Santi Aldama","C","Memphis Grizzlies",,,
